                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.61721,                0.47623,                 1.0894,                0.99822,                      1,                  0.995,                0.85657,                0.65248,                0.47715,                 1.1548,             0.00059303,             0.00059303,             0.00059303
                     67,                0.65915,                0.48164,                 1.0571,                0.99806,                      1,                  0.995,                0.86379,                 0.6441,                0.47629,                 1.1501,             0.00058017,             0.00058017,             0.00058017
                     68,                0.60698,                0.47143,                 1.0373,                 0.9976,                      1,                  0.995,                0.84505,                0.66691,                0.47255,                 1.1774,             0.00056731,             0.00056731,             0.00056731
                     69,                0.68122,                0.50112,                 1.1364,                0.99756,                      1,                  0.995,                0.83885,                0.67358,                 0.4648,                 1.1806,             0.00055445,             0.00055445,             0.00055445
                     70,                0.63497,                0.47076,                  1.054,                0.99738,                      1,                  0.995,                0.84871,                 0.6811,                0.46368,                 1.1821,             0.00054159,             0.00054159,             0.00054159
                     71,                0.63762,                 0.4907,                 1.0648,                0.99776,                      1,                  0.995,                0.85161,                0.65397,                0.48694,                 1.1627,             0.00052873,             0.00052873,             0.00052873
                     72,                0.62506,                0.46598,                 1.0711,                0.99796,                      1,                  0.995,                0.85679,                0.65208,                0.44979,                 1.1482,             0.00051587,             0.00051587,             0.00051587
                     73,                0.63337,                 0.4806,                 1.0524,                0.99796,                      1,                  0.995,                0.86796,                0.61635,                0.45064,                 1.1258,             0.00050301,             0.00050301,             0.00050301
                     74,                0.62021,                0.46537,                 1.0841,                0.99729,                      1,                  0.995,                 0.8365,                0.66473,                0.45326,                 1.1511,             0.00049015,             0.00049015,             0.00049015
                     75,                0.63195,                0.47709,                 1.1144,                0.99683,                      1,                  0.995,                0.85084,                0.66495,                 0.4643,                 1.1513,             0.00047729,             0.00047729,             0.00047729
                     76,                0.60546,                0.47181,                 1.0482,                0.99638,                      1,                  0.995,                0.85402,                0.66937,                0.46955,                 1.1549,             0.00046443,             0.00046443,             0.00046443
                     77,                0.58458,                0.46807,                 1.0676,                0.99636,                      1,                  0.995,                0.85907,                0.66362,                0.44265,                 1.1525,             0.00045156,             0.00045156,             0.00045156
                     78,                0.60309,                0.46084,                 1.0808,                0.99704,                      1,                  0.995,                0.86688,                0.63968,                0.42292,                  1.126,              0.0004387,              0.0004387,              0.0004387
                     79,                0.60578,                0.44965,                 1.0568,                0.99725,                      1,                  0.995,                0.87072,                0.62954,                0.42201,                 1.1132,             0.00042584,             0.00042584,             0.00042584
                     80,                0.56279,                0.42924,                 1.0143,                 0.9979,                      1,                  0.995,                0.85709,                 0.6289,                0.43133,                 1.1096,             0.00041298,             0.00041298,             0.00041298
                     81,                0.57964,                 0.4293,                 1.0329,                0.99799,                      1,                  0.995,                0.86511,                0.62064,                0.42471,                 1.1048,             0.00040012,             0.00040012,             0.00040012
                     82,                0.53863,                0.42064,                 1.0196,                0.99812,                      1,                  0.995,                0.87123,                0.63105,                0.41204,                 1.1127,             0.00038726,             0.00038726,             0.00038726
                     83,                0.56669,                0.43096,                 1.0047,                0.99822,                      1,                  0.995,                0.88993,                 0.6176,                0.41224,                 1.1046,              0.0003744,              0.0003744,              0.0003744
                     84,                0.57309,                0.43609,                 1.0411,                0.99824,                      1,                  0.995,                0.87719,                 0.6269,                0.43238,                 1.1139,             0.00036154,             0.00036154,             0.00036154
                     85,                0.54107,                0.41809,                 1.0065,                0.99818,                      1,                  0.995,                0.87602,                0.63759,                0.42292,                 1.1161,             0.00034868,             0.00034868,             0.00034868
                     86,                0.57612,                0.43022,                 1.0155,                0.99825,                      1,                  0.995,                0.87215,                0.69533,                0.45239,                 1.1492,             0.00033581,             0.00033581,             0.00033581
                     87,                0.57303,                 0.4156,                 1.0526,                0.99832,                      1,                  0.995,                0.85919,                0.68209,                0.43262,                 1.1431,             0.00032295,             0.00032295,             0.00032295
                     88,                0.61676,                0.45662,                 1.0683,                0.99834,                      1,                  0.995,                0.86824,                0.63626,                0.40214,                 1.1116,             0.00031009,             0.00031009,             0.00031009
                     89,                0.55708,                0.42371,                 1.0215,                0.99827,                      1,                  0.995,                0.85954,                0.65256,                0.41393,                 1.1177,             0.00029723,             0.00029723,             0.00029723
                     90,                0.57217,                0.42261,                  1.019,                0.99814,                      1,                  0.995,                0.86261,                0.58324,                0.40849,                 1.0844,             0.00028437,             0.00028437,             0.00028437
                     91,                0.58683,                0.42845,                 1.0449,                0.99809,                      1,                  0.995,                0.86451,                0.59256,                0.41843,                 1.0963,             0.00027151,             0.00027151,             0.00027151
                     92,                0.55852,                0.41617,                 1.0382,                0.99807,                      1,                  0.995,                0.85811,                0.58243,                0.40153,                 1.0957,             0.00025865,             0.00025865,             0.00025865
                     93,                0.55219,                0.41451,                 1.0203,                0.99794,                      1,                  0.995,                0.86379,                0.59045,                0.39312,                 1.1017,             0.00024579,             0.00024579,             0.00024579
                     94,                0.53321,                0.40197,                0.99783,                 0.9979,                      1,                  0.995,                0.86858,                0.57686,                0.39477,                 1.0864,             0.00023293,             0.00023293,             0.00023293
                     95,                0.53192,                0.40617,                 1.0057,                0.99803,                      1,                  0.995,                 0.8788,                0.56424,                0.39735,                 1.0762,             0.00022007,             0.00022007,             0.00022007
                     96,                0.52643,                0.40384,                 1.0036,                0.99816,                      1,                  0.995,                0.88242,                0.57513,                0.39529,                 1.0875,              0.0002072,              0.0002072,              0.0002072
                     97,                0.51102,                0.39723,                 1.0031,                0.99812,                      1,                  0.995,                 0.8808,                0.57399,                0.40724,                 1.0821,             0.00019434,             0.00019434,             0.00019434
                     98,                0.53572,                0.40226,                 1.0234,                0.99805,                      1,                  0.995,                 0.8752,                0.60514,                0.41183,                 1.0952,             0.00018148,             0.00018148,             0.00018148
                     99,                0.50454,                0.38767,                0.98797,                0.99813,                      1,                  0.995,                0.86964,                0.60381,                0.40924,                 1.0895,             0.00016862,             0.00016862,             0.00016862
                    100,                0.50505,                0.39478,                0.99535,                0.99817,                      1,                  0.995,                0.87678,                0.59709,                0.39706,                 1.0886,             0.00015576,             0.00015576,             0.00015576
                    101,                0.47863,                0.42901,                  1.004,                 0.9982,                      1,                  0.995,                0.85598,                0.63454,                0.41478,                 1.1178,              0.0001429,              0.0001429,              0.0001429
                    102,                0.46843,                0.43071,                0.94795,                 0.9981,                      1,                  0.995,                  0.833,                0.66635,                0.45477,                  1.143,             0.00013004,             0.00013004,             0.00013004
                    103,                0.49829,                0.44323,                 0.9547,                0.99799,                      1,                  0.995,                 0.8497,                0.63243,                0.45162,                 1.1062,             0.00011718,             0.00011718,             0.00011718
                    104,                0.44206,                0.41022,                0.95376,                 0.9979,                      1,                  0.995,                0.87539,                0.60215,                0.41067,                 1.0733,             0.00010432,             0.00010432,             0.00010432
                    105,                0.45275,                 0.4098,                 0.9814,                0.99791,                      1,                  0.995,                0.87037,                0.59843,                0.38766,                 1.0721,             9.1456e-05,             9.1456e-05,             9.1456e-05
                    106,                0.44818,                0.39731,                0.98216,                0.99795,                      1,                  0.995,                0.86214,                 0.6161,                0.37223,                 1.0888,             7.8595e-05,             7.8595e-05,             7.8595e-05
                    107,                0.42328,                0.38604,                 0.9656,                0.99796,                      1,                  0.995,                0.85685,                  0.615,                0.37493,                 1.0873,             6.5734e-05,             6.5734e-05,             6.5734e-05
                    108,                0.42682,                0.38186,                0.95768,                0.99797,                      1,                  0.995,                0.87622,                0.59404,                0.37552,                 1.0697,             5.2873e-05,             5.2873e-05,             5.2873e-05
                    109,                0.44239,                0.39831,                0.97408,                0.99801,                      1,                  0.995,                0.86998,                0.59619,                0.38145,                 1.0676,             4.0012e-05,             4.0012e-05,             4.0012e-05
                    110,                0.44696,                0.39337,                0.95085,                0.99806,                      1,                  0.995,                0.86782,                 0.6017,                0.37878,                 1.0699,             2.7151e-05,             2.7151e-05,             2.7151e-05
